,id,time_on_site,positive_rating,neutral_rating,negative_rating,listing,listing_gmv,sale,buyers,gmv,listing_per_day,clusters
3,100002548,5,0,0,0,40,357.0,0,0,0.0,8.0,1.0
160,100132264,65,19,1,0,93,2065.0,21,20,490.0,1.43076923077,1.0
242,100203484,79,27,1,0,105,2477.0,29,29,754.0,1.32911392405,1.0
1232,100921416,60,22,2,0,108,1728.0,27,27,408.0,1.8,1.0
1242,100924949,66,34,3,0,478,3958.0,38,38,398.0,7.24242424242,1.0
1352,101005450,54,21,0,0,105,2924.0,22,22,783.0,1.94444444444,1.0
1778,101319916,74,24,1,0,131,2099.0,28,28,346.0,1.77027027027,1.0
2157,101615408,77,10,1,0,128,3819.0,11,10,400.0,1.66233766234,1.0
2161,101617574,6,0,0,0,36,480.0,0,0,0.0,6.0,1.0
2162,101618251,19,3,0,0,84,1770.0,3,3,65.0,4.42105263158,1.0
2288,101713485,56,104,3,1,130,1891.0,113,104,1720.0,2.32142857143,1.0
2334,101753153,47,3,0,0,25,6817.0,3,3,449.0,0.531914893617,1.0
2609,101949048,39,41,1,0,118,861.0,43,43,436.0,3.02564102564,1.0
2873,102119050,42,8,1,0,98,2132.0,9,9,271.0,2.33333333333,1.0
3261,102400302,1,0,0,0,11,378.0,0,0,0.0,11.0,1.0
3474,102557769,41,18,1,0,138,1060.0,20,18,174.0,3.36585365854,1.0
3610,102662935,25,7,0,0,75,2609.0,7,6,166.0,3.0,1.0
4093,103056644,27,19,2,0,91,1115.0,21,21,345.0,3.37037037037,1.0
4968,103717620,5,0,0,0,21,2435.0,0,0,0.0,4.2,1.0
5985,104484995,76,15,3,1,55,2910.0,19,19,931.0,0.723684210526,1.0
6653,104981788,74,16,2,0,28,2820.0,18,18,1535.0,0.378378378378,1.0
7256,105437610,72,28,1,0,192,4580.0,29,28,706.0,2.66666666667,1.0
7280,105459146,44,12,1,0,94,1912.0,13,13,248.0,2.13636363636,1.0
8682,106526297,13,6,0,0,48,1464.0,7,7,231.0,3.69230769231,1.0
9482,107124245,49,26,4,3,78,3304.0,36,30,2056.0,1.59183673469,1.0
10386,107800377,59,27,0,0,155,2237.0,28,28,530.0,2.62711864407,1.0
10545,107909188,5,2,1,1,154,2347.0,4,4,74.0,30.8,1.0
10554,107917010,52,28,0,0,119,1635.0,28,27,279.0,2.28846153846,1.0
11832,108850067,76,21,2,0,109,2438.0,24,24,534.0,1.43421052632,1.0
12034,109001397,65,10,0,0,62,3403.0,10,10,459.0,0.953846153846,1.0
12043,109009433,14,16,1,0,139,3613.0,18,17,293.0,9.92857142857,1.0
13788,110328378,15,36,3,1,46,707.0,40,38,617.0,3.06666666667,1.0
13900,110402405,76,35,2,0,75,1148.0,38,38,670.0,0.986842105263,1.0
13944,110427834,20,11,3,0,115,1258.0,14,14,223.0,5.75,1.0
14300,110697158,46,186,20,4,317,1581.0,235,195,1147.0,6.89130434783,1.0
