,id,time_on_site,positive_rating,neutral_rating,negative_rating,listing,listing_gmv,sale,buyers,gmv,listing_per_day,clusters
4558,103409199,65,162,7,1,249,8466.0,174,155,5553.0,3.83076923077,2.0
7163,105352411,52,190,6,1,501,7416.0,203,181,3023.0,9.63461538462,2.0
23665,117759762,69,79,6,0,145,20190.0,85,76,12650.0,2.10144927536,2.0
27055,120319354,78,186,10,5,515,11171.0,209,199,4443.0,6.60256410256,2.0
33949,125512323,63,209,6,1,334,8935.0,220,183,4773.0,5.30158730159,2.0
53650,140306250,48,210,18,10,985,8789.0,294,273,2733.0,20.5208333333,2.0
74496,156022373,67,178,16,0,259,5321.0,201,195,4354.0,3.86567164179,2.0
81354,161106243,33,215,19,2,666,11880.0,251,239,3829.0,20.1818181818,2.0
88556,166450506,25,8,0,0,216,48862.0,8,8,1752.0,8.64,2.0
102336,176676759,11,16,3,0,603,9023.0,19,19,236.0,54.8181818182,2.0
109940,182274620,56,185,25,5,1097,14680.0,247,222,2069.0,19.5892857143,2.0
122953,191883860,50,301,35,4,733,7975.0,352,346,3730.0,14.66,2.0
125646,193856248,71,722,74,15,996,6767.0,925,801,6222.0,14.0281690141,2.0
145623,208793270,72,112,1,0,603,21261.0,119,110,4482.0,8.375,2.0
149866,211995225,49,1430,164,57,2131,17035.0,1826,1595,14462.0,43.4897959184,2.0
184271,237727728,76,280,7,0,2082,16768.0,290,237,3144.0,27.3947368421,2.0
191553,243270699,47,288,11,6,392,1547.0,347,332,1375.0,8.34042553191,2.0
222613,266249738,63,208,32,8,2758,57706.0,280,269,4793.0,43.7777777778,2.0
236551,276544966,41,129,10,2,2282,53872.0,141,136,1976.0,55.6585365854,2.0
260488,294248236,72,223,13,1,361,9949.0,249,205,5875.0,5.01388888889,2.0
263740,296668824,42,166,7,1,785,15331.0,183,169,3505.0,18.6904761905,2.0
274054,304428607,67,461,60,18,613,7535.0,603,565,7432.0,9.14925373134,2.0
367356,374103604,58,204,22,2,685,12852.0,230,223,3031.0,11.8103448276,2.0
373553,378749542,41,12,2,0,447,52393.0,15,11,1295.0,10.9024390244,2.0
389959,390903733,70,825,66,22,1606,14953.0,1067,1030,10085.0,22.9428571429,2.0
392149,392493654,64,115,26,4,1068,15800.0,189,187,2083.0,16.6875,2.0
419009,412500739,23,155,19,3,219,7854.0,184,168,6596.0,9.52173913043,2.0
435295,424424044,39,137,7,4,172,11595.0,155,147,10535.0,4.41025641026,2.0
464465,446111255,50,61,0,0,246,33551.0,62,59,7811.0,4.92,2.0
479909,457677789,62,128,2,0,137,12487.0,130,124,11571.0,2.20967741935,2.0
489759,464972250,31,132,23,8,311,8945.0,182,174,4968.0,10.0322580645,2.0
490756,465703103,51,209,42,3,359,12299.0,261,236,9042.0,7.03921568627,2.0
492776,467208628,57,350,56,19,622,5451.0,435,417,3714.0,10.9122807018,2.0
492971,467354502,79,19,1,0,117,22414.0,22,21,4066.0,1.48101265823,2.0
511688,481442867,62,91,10,6,760,22647.0,124,121,1885.0,12.2580645161,2.0
545429,506537603,56,306,7,0,457,7347.0,328,153,5194.0,8.16071428571,2.0
